"exp_name","cue_pred","subj","cond","block","trial","cue_delay","targ_right","cue_valid","targ_soa","shutter_dur","trial_start","trial_end","cue_rt","corr_resp","rt","block_date","block_time","block_order","Cond","CondFull","CuePred","CuePredFull","CueValid","cue_valid_c","cue_pred_c","RT"
"eb3",1,0,"a",1,36,0.5,0,0,0.6,0.0626795695596243,120.998425006866,122.558387994766,0.270003080368042,1,0.37999701499939,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,379.99701499939
"eb3",1,0,"a",1,37,0.318,1,1,0.6,0.0917656839277055,123.398414134979,124.678331136703,0.389834880828857,1,0.260066986083984,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,260.066986083984
"eb3",1,0,"a",1,38,0.44,0,1,0.6,0.0821455468104544,125.518347024918,126.908286094666,0.329978942871094,1,0.230021953582764,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,230.021953582764
"eb3",1,0,"a",1,39,0.386,1,0,0.6,0.0994500392099184,127.728332042694,129.12833404541,0.400003910064697,1,0.350054025650024,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,350.054025650024
"eb3",1,0,"a",1,40,0.3,1,1,0.6,0.0970915095689459,129.948359012604,131.208297014236,0.330003023147583,1,0.269946813583374,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,269.946813583374
"eb3",1,0,"a",1,41,0.389,0,1,0.6,0.118263199457595,132.048372983932,133.368281126022,0.300010919570923,1,0.229982852935791,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,229.982852935791
"eb3",1,0,"a",1,42,0.452,1,0,0.6,0.0840909543228603,134.208269119263,135.628298997879,0.32999587059021,1,0.270082950592041,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,270.082950592041
"eb3",1,0,"a",1,43,0.314,0,1,0.6,0.0835657321386169,136.468347072601,137.708338975906,0.309793949127197,1,0.239970207214355,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,239.970207214355
"eb3",1,0,"a",1,44,0.387,0,1,0.6,0.0728505721767036,138.548323154449,139.868258953094,0.369982957839966,1,0.210016965866089,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,210.016965866089
"eb3",1,0,"a",1,45,0.422,1,1,0.6,0.0971304175497004,140.708318948746,142.018289089203,0.319984912872314,1,0.219964981079102,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,219.964981079102
