"exp_name","cue_pred","subj","cond","block","trial","cue_delay","targ_right","scue_delay","cue_valid","targ_soa","shutter_dur","trial_start","trial_end","cue_rt","corr_resp","rt","block_date","block_time","block_order","Cond","CondFull","CuePred","CuePredFull","CueValid","cue_valid_c","cue_pred_c","RT"
"eb4",1,2,"a",3,16,0.98,0,0.3,0,0.5,0.140970715175714,101.480515956879,104.089063882828,0.299983978271484,1,0.318991899490356,"2020-10-28",1217,2,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,318.991899490356
"eb4",1,2,"a",3,40,0.871,1,0.4,1,0.5,0.100088642677049,182.193557024002,184.914214849472,0.320085048675537,1,0.339948892593384,"2020-10-28",1217,2,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,339.948892593384
"eb4",1,2,"a",3,47,0.883,1,0.5,1,0.5,0.138438192462519,207.897162914276,210.578611850739,0.339967012405396,1,0.340022087097168,"2020-10-28",1217,2,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,340.022087097168
"eb4",1,2,"c",1,3,0.87,1,0.4,1,0.4,0,78.684788942337,83.2090299129486,0.300128936767578,1,0.389986991882324,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,389.986991882324
"eb4",1,2,"c",1,5,0.67,0,0.5,0,0.4,0,90.2420949935913,93.0729179382324,0.310166835784912,1,0.339810132980347,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Invalid",-1,1,339.810132980347
"eb4",1,2,"c",1,6,0.986,0,0.4,1,0.4,0,93.8088970184326,97.9929668903351,0.340257883071899,1,0.34004020690918,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,340.04020690918
"eb4",1,2,"c",1,7,0.627,0,0.4,1,0.4,0,98.7290608882904,101.033035993576,0.399907112121582,1,0.27989387512207,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,279.89387512207
"eb4",1,2,"c",1,8,0.986,0,0.3,1,0.4,0,101.768874883652,104.46494603157,0.280020952224731,1,0.279943943023682,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,279.943943023682
"eb4",1,2,"c",1,10,0.809,1,0.3,1,0.4,0,108.585696935654,111.232964038849,0.300014019012451,1,0.410065889358521,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,410.065889358521
"eb4",1,2,"c",1,11,0.943,1,0.3,1,0.4,0,111.970350027084,114.488931894302,0.310287952423096,1,0.309808969497681,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,309.808969497681
"eb4",1,2,"c",1,12,0.89,1,0.5,1,0.4,0,115.22412109375,117.896961927414,0.280050992965698,1,0.299978971481323,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,299.978971481323
"eb4",1,2,"c",1,13,0.604,0,0.5,1,0.4,0,118.635537862778,121.024934053421,0.350082874298096,1,0.230125188827515,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,230.125188827515
"eb4",1,2,"c",1,15,0.536,1,0.4,0,0.4,0,124.853760004044,127.184954881668,0.299917936325073,1,0.349977970123291,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Invalid",-1,1,349.977970123291
"eb4",1,2,"c",1,20,0.954,0,0.5,1,0.4,0,141.501944065094,144.280978918076,0.289932012557983,1,0.310060024261475,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,310.060024261475
"eb4",1,2,"c",1,21,0.8,1,0.5,1,0.4,0,145.014417886734,147.577077865601,0.260248184204102,1,0.32996392250061,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,329.96392250061
"eb4",1,2,"c",1,24,0.693,0,0.3,1,0.4,0,154.598118066788,156.944957017899,0.290060997009277,1,0.349950075149536,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,349.950075149536
"eb4",1,2,"c",1,27,0.562,0,0.4,0,0.4,0,164.144411087036,166.409024000168,0.329998970031738,1,0.320091009140015,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Invalid",-1,1,320.091009140015
"eb4",1,2,"c",1,28,0.759,0,0.4,1,0.4,0,167.140448093414,169.713062047958,0.299938917160034,1,0.310038089752197,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,310.038089752197
"eb4",1,2,"c",1,31,0.747,0,0.5,1,0.4,0,179.064274072647,181.832962989807,0.279865026473999,1,0.360229015350342,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,360.229015350342
"eb4",1,2,"c",1,32,0.992,1,0.3,0,0.4,0,182.5473279953,185.257081031799,0.279910087585449,1,0.34992504119873,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Invalid",-1,1,349.92504119873
"eb4",1,2,"c",1,33,0.843,1,0.3,1,0.4,0,185.991818904877,189.609096050262,0.349858999252319,1,0.339786052703857,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,339.786052703857
"eb4",1,2,"c",1,34,0.628,1,0.4,1,0.4,0,190.342722892761,193.065116882324,0.350123882293701,1,0.280009984970093,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,280.009984970093
"eb4",1,2,"c",1,35,0.735,1,0.5,1,0.4,0,193.799850940704,197.169121026993,0.309873104095459,1,0.34011697769165,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,340.11697769165
"eb4",1,2,"c",1,36,0.793,0,0.4,1,0.4,0,197.902147054672,200.489021062851,0.410121917724609,1,0.359812021255493,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,359.812021255493
"eb4",1,2,"c",1,38,0.507,0,0.5,0,0.4,0,205.622860908508,208.177154064178,0.309918880462646,1,0.360135078430176,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Invalid",-1,1,360.135078430176
"eb4",1,2,"c",1,39,0.582,1,0.5,1,0.4,0,208.910422086716,211.33705496788,0.310077905654907,1,0.379967212677002,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,379.967212677002
"eb4",1,2,"c",1,40,0.921,1,0.3,1,0.4,0,212.070765972137,214.721143960953,0.29990816116333,1,0.339991092681885,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,339.991092681885
"eb4",1,2,"c",1,41,0.893,0,0.3,0,0.4,0,215.453151941299,218.065207004547,0.319905996322632,1,0.37006402015686,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Invalid",-1,1,370.06402015686
"eb4",1,2,"c",1,42,0.625,0,0.3,1,0.4,0,218.799964904785,221.017124891281,0.330152988433838,1,0.330070972442627,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,330.070972442627
"eb4",1,2,"c",1,43,0.696,0,0.4,1,0.4,0,221.750214099884,224.097095966339,0.259958982467651,1,0.329897880554199,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,329.897880554199
"eb4",1,2,"c",1,44,0.952,1,0.4,1,0.4,0,224.832009077072,227.536900997162,0.310021877288818,1,0.360013961791992,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,360.013961791992
"eb4",1,2,"c",1,45,0.914,1,0.3,1,0.4,0,228.2706990242,230.793108940125,0.350027084350586,1,0.330147981643677,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,330.147981643677
"eb4",1,2,"c",1,47,0.55,0,0.3,1,0.4,0,234.850182056427,237.0331158638,0.340039014816284,1,0.350009918212891,"2020-10-28",1236,1,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,350.009918212891
"eb4",1,2,"c",2,1,0.887,0,0.5,1,0.5,0,43.4690499305725,46.4543650150299,0.319844961166382,1,0.309930086135864,"2020-10-28",1240,2,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,309.930086135864
"eb4",1,2,"c",2,3,0.713,0,0.4,1,0.5,0,50.687716960907,53.4865629673004,0.310112953186035,1,0.319852113723755,"2020-10-28",1240,2,"NoBlink","No Blink","Predictive","Predictive Cue","Valid",1,1,319.852113723755
