"subj","cue_pred","block","trial","cond","exp_name","cue_delay","targ_right","scue_delay","cue_valid","targ_soa","shutter_dur","trial_start","trial_end","cue_rt","corr_resp","rt.x","block_date","block_time","block_order","Cond","CondFull","CuePred","CuePredFull","CueValid","cue_valid_c","cue_pred_c","RT","trial_sample_beg","trial_time_beg","trial_sample_end","trial_time_end","cue_sample","cue_time","scue_sample","scue_time","blink_latency_sample","blink_latency_time","blink_window_sample","blink_window_time","targ_sample","targ_time","resp_sample","resp_time","shutter_sample_beg","shutter_time_beg","shutter_sample_end","shutter_time_end","cue_resp_sample","cue_resp_time","tot_trial_samples","tot_trial_time","samples_per_s","sacc_num","sacc_R","sacc_bef_targ","xr_pre_cue_ave","xr_pre_eb_ave","xr_post_eb_ave","xr_pre_targ_ave","xr_post_targ_ave","xr_post_resp_ave","blank_sample_beg","blank_sample_end","tot_blank_samples","blank_time_beg","blank_time_end","tot_blank_time","blank_post_cue","blank_post_targ","rt.y","nonart","excl_reason"
0,1,1,2,"a","eb4",0.587,1,0.4,1,0.3,0.0675861587682506,60.8917300701141,62.9975681304932,0.39002799987793,1,0.32002592086792,"2020-10-21",1445,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,320.02592086792,11174340,60.89,11176446,63,11174915,61.47,11175328,61.88,11175615,62.17,11175615,62.17,11175615,62.17,11175946,62.5,11175375,61.93,11175305,61.86,11175305,61.86,2106,2.11,998.104265402844,NA,NA,NA,0.0923235901978151,0.156858302263786,0.0202862938941112,0.098438666875076,0.0418713261937353,0.453505785764849,11175310,11175374,66,0.97,1.034,0.0640000000000001,1,0,1.61,0,NA
0,1,1,2,"v","eb4",0.927,1,0.3,1,0.3,0,120.370391130447,122.550679922104,0,1,0.489849090576172,"2020-10-14",1533,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,489.849090576172,17200371,120.37,17202552,122.55,17201286,121.28,17201596,121.59,17201887,121.88,17201887,121.88,17201887,121.88,17202387,122.38,NA,NA,NA,NA,NA,NA,2181,2.17999999999999,1000.45871559633,NA,NA,NA,0.506839877964767,0.467288421125758,0.386255856973907,0.307931196623255,0.473020372010629,0.653755031793011,17201508,17201604,98,1.137,1.233,0.0960000000000001,1,0,2.00999999999999,1,NA
0,1,1,20,"a","eb4",0.939,1,0.5,1,0.3,0.0658002437279853,109.989561080933,112.064989089966,0.409915924072266,1,0.28020977973938,"2020-10-21",1445,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,280.20977973938,11223434,109.99,11225509,112.06,11224365,110.92,11224875,111.43,11225165,111.72,11225165,111.72,11225165,111.72,11225456,112.01,11224845,111.4,11224775,111.33,11224775,111.33,2075,2.07000000000001,1002.41545893719,NA,NA,NA,0.0759964570416298,-0.211863719392506,-0.195389544321553,-0.236660356495713,-0.128971829408591,-0.193727146782948,11224780,11224842,64,1.346,1.408,0.0619999999999998,1,0,2.02000000000001,0,NA
0,1,1,20,"v","eb4",0.715,1,0.5,1,0.3,0,167.313449144363,169.22340798378,0,1,0.333080768585205,"2020-10-14",1533,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,333.080768585205,17247314,167.31,17249224,169.22,17248016,168.02,17248526,168.53,17248816,168.82,17248817,168.82,17248817,168.82,17249160,169.16,NA,NA,NA,NA,NA,NA,1910,1.91,1000,NA,NA,NA,0.0956121593854099,0.139881761901109,0.281925078098895,0.321676185822058,0.109016759988743,0.101240987837748,17248322,17248416,96,1.008,1.102,0.0940000000000001,1,0,1.84999999999999,1,NA
0,1,1,21,"a","eb4",0.897,1,0.3,0,0.3,0.0794482555702371,112.800343036652,114.649188995361,0.309951066970825,1,0.300082921981812,"2020-10-21",1445,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,300.082921981812,11226245,112.8,11228093,114.65,11227135,113.69,11227445,114,11227735,114.29,11227735,114.29,11227735,114.29,11228045,114.6,11227525,114.08,11227446,114,11227446,114,1848,1.85000000000001,998.918918918914,NA,NA,NA,-0.0688810156480661,-0.104275706578629,-0.0159090429794593,-0.0725336999678313,-0.0177338400144767,-0.1391349276646,11227450,11227522,74,1.205,1.277,0.0720000000000001,1,0,1.8,0,NA
0,1,1,21,"v","eb4",0.844,0,0.3,1,0.3,0,169.959197998047,171.807533979416,0,1,0.339980125427246,"2020-10-14",1533,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,339.980125427246,17249960,169.96,17251808,171.81,17250796,170.8,17251110,171.11,17251398,171.4,17251398,171.4,17251398,171.4,17251747,171.75,NA,NA,NA,NA,NA,NA,1848,1.84999999999999,998.918918918922,NA,NA,NA,0.47027702475001,0.427139448324597,0.593262522967008,0.30441635697024,0.790649847795323,0.990256864481842,17251092,17251188,98,1.132,1.228,0.0959999999999999,1,0,1.78999999999999,1,NA
0,1,1,22,"a","eb4",0.921,0,0.4,1,0.3,0.100188447040815,115.382914066315,117.305432081223,0.310070037841797,1,0.250030040740967,"2020-10-21",1445,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,250.030040740967,11228827,115.38,11230749,117.31,11229745,116.3,11230156,116.71,11230445,117,11230445,117,11230445,117,11230706,117.26,11230156,116.71,11230055,116.61,11230055,116.61,1922,1.93000000000001,995.854922279789,NA,NA,NA,-0.254561558901683,-0.227809539147006,-0.0153453764145162,-0.126119476429485,-0.0265721877767935,-0.244914027022087,11230060,11230154,96,1.233,1.327,0.0939999999999999,1,0,1.88000000000001,0,NA
0,1,1,22,"v","eb4",0.706,1,0.4,1,0.3,0,172.545933961868,174.311275005341,0,1,0.279396057128906,"2020-10-14",1533,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,279.396057128906,17252546,172.55,17254312,174.31,17253246,173.25,17253657,173.66,17253946,173.95,17253946,173.95,17253946,173.95,17254236,174.24,NA,NA,NA,NA,NA,NA,1766,1.75999999999999,1003.4090909091,NA,NA,NA,0.0743782674694987,0.0731110477248503,0.290373316738064,0.190055804034385,0.281447856182134,0.424756022630248,17253534,17253622,90,0.988,1.076,0.0880000000000001,1,0,1.69,1,NA
0,1,1,23,"a","eb4",0.758,1,0.4,1,0.3,0.152128762867014,118.043666124344,119.881639003754,0.33018684387207,1,0.299978971481323,"2020-10-21",1445,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,299.978971481323,11231488,118.04,11233325,119.88,11232235,118.79,11232645,119.2,11232935,119.49,11232935,119.49,11232935,119.49,11233246,119.8,11232726,119.28,11232565,119.12,11232565,119.12,1837,1.83999999999999,998.369565217397,NA,NA,NA,0.126956008266903,0.320238525929715,0.413782055101211,0.354155243437794,0.408868824823566,0.267765892212305,11232570,11232724,156,1.082,1.236,0.154,1,0,1.75999999999999,0,NA
0,1,1,24,"a","eb4",0.712,0,0.3,1,0.3,0.0607094213955997,120.617861032486,122.273723125458,0.330629825592041,1,0.270004034042358,"2020-10-21",1445,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,270.004034042358,11234062,120.62,11235717,122.27,11234765,121.32,11235075,121.63,11235365,121.92,11235365,121.92,11235365,121.92,11235646,122.2,11235165,121.72,11235096,121.65,11235096,121.65,1655,1.64999999999999,1003.03030303031,NA,NA,NA,0.0736935341009742,0.00827521966757728,0.137173853893491,0.0313448622803924,0.162153612552195,0.00894175207727035,11235100,11235162,64,1.038,1.1,0.0620000000000001,1,0,1.58,0,NA
